"TIME","GEO","VICTIM","UNIT","Value","Flag and Footnotes"
"2001","Belgium","Killed","Number","1,486",""
"2001","Belgium","Killed","Per million inhabitants","145",""
"2001","Belgium","Injured","Number","65,294",""
"2001","Belgium","Injured","Per million inhabitants","6,362",""
"2001","Bulgaria","Killed","Number",":",""
"2001","Bulgaria","Killed","Per million inhabitants",":",""
"2001","Bulgaria","Injured","Number",":",""
"2001","Bulgaria","Injured","Per million inhabitants",":",""
"2001","Czechia","Killed","Number","1,334",""
"2001","Czechia","Killed","Per million inhabitants","130",""
"2001","Czechia","Injured","Number","33,676",""
"2001","Czechia","Injured","Per million inhabitants","3,291",""
"2001","Denmark","Killed","Number","431",""
"2001","Denmark","Killed","Per million inhabitants","81",""
"2001","Denmark","Injured","Number","8,465",""
"2001","Denmark","Injured","Per million inhabitants","1,582",""
"2001","Germany (until 1990 former territory of the FRG)","Killed","Number","6,977",""
"2001","Germany (until 1990 former territory of the FRG)","Killed","Per million inhabitants","85",""
"2001","Germany (until 1990 former territory of the FRG)","Injured","Number","494,775",""
"2001","Germany (until 1990 former territory of the FRG)","Injured","Per million inhabitants","6,015",""
"2001","Estonia","Killed","Number","199",""
"2001","Estonia","Killed","Per million inhabitants","143",""
"2001","Estonia","Injured","Number","2,443",""
"2001","Estonia","Injured","Per million inhabitants","1,754",""
"2001","Ireland","Killed","Number","411",""
"2001","Ireland","Killed","Per million inhabitants","107",""
"2001","Ireland","Injured","Number","10,222",""
"2001","Ireland","Injured","Per million inhabitants","2,667",""
"2001","Greece","Killed","Number","1,880",""
"2001","Greece","Killed","Per million inhabitants","173",""
"2001","Greece","Injured","Number","26,336",""
"2001","Greece","Injured","Per million inhabitants","2,430",""
"2001","Spain","Killed","Number","5,517",""
"2001","Spain","Killed","Per million inhabitants","136",""
"2001","Spain","Injured","Number","149,599",""
"2001","Spain","Injured","Per million inhabitants","3,696",""
"2001","France","Killed","Number","8,008",""
"2001","France","Killed","Per million inhabitants","131",""
"2001","France","Injured","Number","158,301",""
"2001","France","Injured","Per million inhabitants","2,596",""
"2001","Croatia","Killed","Number","647",""
"2001","Croatia","Killed","Per million inhabitants","151",""
"2001","Croatia","Injured","Number","22,093",""
"2001","Croatia","Injured","Per million inhabitants","5,143",""
"2001","Italy","Killed","Number","7,096",""
"2001","Italy","Killed","Per million inhabitants","125",""
"2001","Italy","Injured","Number","373,286",""
"2001","Italy","Injured","Per million inhabitants","6,553",""
"2001","Cyprus","Killed","Number","98",""
"2001","Cyprus","Killed","Per million inhabitants","140",""
"2001","Cyprus","Injured","Number","3,528",""
"2001","Cyprus","Injured","Per million inhabitants","5,058",""
"2001","Latvia","Killed","Number","517",""
"2001","Latvia","Killed","Per million inhabitants","220",""
"2001","Latvia","Injured","Number","5,852",""
"2001","Latvia","Injured","Per million inhabitants","2,487",""
"2001","Lithuania","Killed","Number","706",""
"2001","Lithuania","Killed","Per million inhabitants","202",""
"2001","Lithuania","Injured","Number","7,103",""
"2001","Lithuania","Injured","Per million inhabitants","2,037",""
"2001","Luxembourg","Killed","Number","70",""
"2001","Luxembourg","Killed","Per million inhabitants","159",""
"2001","Luxembourg","Injured","Number","1,178",""
"2001","Luxembourg","Injured","Per million inhabitants","2,683",""
"2001","Hungary","Killed","Number","1,239",""
"2001","Hungary","Killed","Per million inhabitants","121",""
"2001","Hungary","Injured","Number","24,149",""
"2001","Hungary","Injured","Per million inhabitants","2,367",""
"2001","Malta","Killed","Number","16",""
"2001","Malta","Killed","Per million inhabitants","41",""
"2001","Malta","Injured","Number","1,231",""
"2001","Malta","Injured","Per million inhabitants","3,145",""
"2001","Netherlands","Killed","Number","1,085",""
"2001","Netherlands","Killed","Per million inhabitants","68",""
"2001","Netherlands","Injured","Number","11,029",""
"2001","Netherlands","Injured","Per million inhabitants","690",""
"2001","Austria","Killed","Number","958",""
"2001","Austria","Killed","Per million inhabitants","119",""
"2001","Austria","Injured","Number","56,265",""
"2001","Austria","Injured","Per million inhabitants","7,015",""
"2001","Poland","Killed","Number","5,534",""
"2001","Poland","Killed","Per million inhabitants","145",""
"2001","Poland","Injured","Number","68,194",""
"2001","Poland","Injured","Per million inhabitants","1,783",""
"2001","Portugal","Killed","Number",":",""
"2001","Portugal","Killed","Per million inhabitants",":",""
"2001","Portugal","Injured","Number",":",""
"2001","Portugal","Injured","Per million inhabitants",":",""
"2001","Romania","Killed","Number","2,451",""
"2001","Romania","Killed","Per million inhabitants","109",""
"2001","Romania","Injured","Number","6,754",""
