"TIME","GEO","VEHICLE","UNIT","Value","Flag and Footnotes"
"2001","Belgium","All vehicles (except trailers and motorcycles)","Number","5,381,700",""
"2001","Belgium","All vehicles (except trailers and motorcycles)","Per thousand inhabitants",":",""
"2001","Belgium","Total utility vehicles","Number","627,100",""
"2001","Belgium","Total utility vehicles","Per thousand inhabitants",":",""
"2001","Belgium","Lorries","Number","526,300",""
"2001","Belgium","Lorries","Per thousand inhabitants",":",""
"2001","Belgium","Road tractors","Number","46,300",""
"2001","Belgium","Road tractors","Per thousand inhabitants",":",""
"2001","Belgium","Trailers and semi-trailers","Number",":",""
"2001","Belgium","Trailers and semi-trailers","Per thousand inhabitants",":",""
"2001","Belgium","Motorcycles","Number","293,600",""
"2001","Belgium","Motorcycles","Per thousand inhabitants",":",""
"2001","Belgium","Passenger cars","Number","4,739,900",""
"2001","Belgium","Passenger cars","Per thousand inhabitants","460",""
"2001","Belgium","Motor coaches, buses and trolley buses","Number","14,700",""
"2001","Belgium","Motor coaches, buses and trolley buses","Per thousand inhabitants",":",""
"2001","Belgium","Special vehicles","Number","54,500",""
"2001","Belgium","Special vehicles","Per thousand inhabitants",":",""
"2001","Bulgaria","All vehicles (except trailers and motorcycles)","Number",":",""
"2001","Bulgaria","All vehicles (except trailers and motorcycles)","Per thousand inhabitants",":",""
"2001","Bulgaria","Total utility vehicles","Number",":",""
"2001","Bulgaria","Total utility vehicles","Per thousand inhabitants",":",""
"2001","Bulgaria","Lorries","Number",":",""
"2001","Bulgaria","Lorries","Per thousand inhabitants",":",""
"2001","Bulgaria","Road tractors","Number",":",""
"2001","Bulgaria","Road tractors","Per thousand inhabitants",":",""
"2001","Bulgaria","Trailers and semi-trailers","Number",":",""
"2001","Bulgaria","Trailers and semi-trailers","Per thousand inhabitants",":",""
"2001","Bulgaria","Motorcycles","Number",":",""
"2001","Bulgaria","Motorcycles","Per thousand inhabitants",":",""
"2001","Bulgaria","Passenger cars","Number",":",""
"2001","Bulgaria","Passenger cars","Per thousand inhabitants",":",""
"2001","Bulgaria","Motor coaches, buses and trolley buses","Number",":",""
"2001","Bulgaria","Motor coaches, buses and trolley buses","Per thousand inhabitants",":",""
"2001","Bulgaria","Special vehicles","Number",":",""
"2001","Bulgaria","Special vehicles","Per thousand inhabitants",":",""
"2001","Czechia","All vehicles (except trailers and motorcycles)","Number","3,936,500",""
"2001","Czechia","All vehicles (except trailers and motorcycles)","Per thousand inhabitants",":",""
"2001","Czechia","Total utility vehicles","Number","388,300",""
"2001","Czechia","Total utility vehicles","Per thousand inhabitants",":",""
"2001","Czechia","Lorries","Number","296,400",""
"2001","Czechia","Lorries","Per thousand inhabitants",":",""
"2001","Czechia","Road tractors","Number","24,800",""
"2001","Czechia","Road tractors","Per thousand inhabitants",":",""
"2001","Czechia","Trailers and semi-trailers","Number","140,700",""
"2001","Czechia","Trailers and semi-trailers","Per thousand inhabitants",":",""
"2001","Czechia","Motorcycles","Number","755,500",""
"2001","Czechia","Motorcycles","Per thousand inhabitants",":",""
"2001","Czechia","Passenger cars","Number","3,529,800",""
"2001","Czechia","Passenger cars","Per thousand inhabitants","346",""
"2001","Czechia","Motor coaches, buses and trolley buses","Number","18,400",""
"2001","Czechia","Motor coaches, buses and trolley buses","Per thousand inhabitants",":",""
"2001","Czechia","Special vehicles","Number","67,100",""
"2001","Czechia","Special vehicles","Per thousand inhabitants",":",""
"2001","Denmark","All vehicles (except trailers and motorcycles)","Number","2,280,200",""
"2001","Denmark","All vehicles (except trailers and motorcycles)","Per thousand inhabitants",":",""
"2001","Denmark","Total utility vehicles","Number","393,600",""
"2001","Denmark","Total utility vehicles","Per thousand inhabitants",":",""
"2001","Denmark","Lorries","Number","380,300",""
"2001","Denmark","Lorries","Per thousand inhabitants",":",""
"2001","Denmark","Road tractors","Number","12,000",""
"2001","Denmark","Road tractors","Per thousand inhabitants",":",""
"2001","Denmark","Trailers and semi-trailers","Number","584,200",""
"2001","Denmark","Trailers and semi-trailers","Per thousand inhabitants",":",""
"2001","Denmark","Motorcycles","Number","78,400",""
"2001","Denmark","Motorcycles","Per thousand inhabitants",":",""
"2001","Denmark","Passenger cars","Number","1,872,600",""
"2001","Denmark","Passenger cars","Per thousand inhabitants","349",""
"2001","Denmark","Motor coaches, buses and trolley buses","Number","14,000",""
"2001","Denmark","Motor coaches, buses and trolley buses","Per thousand inhabitants",":",""
"2001","Denmark","Special vehicles","Number","1,300",""
"2001","Denmark","Special vehicles","Per thousand inhabitants",":",""
"2001","Germany (until 1990 former territory of the FRG)","All vehicles (except trailers and motorcycles)","Number","49,076,815",""
"2001","Germany (until 1990 former territory of the FRG)","All vehicles (except trailers and motorcycles)","Per thousand inhabitants",":",""
"2001","Germany (until 1990 former territory of the FRG)","Total utility vehicles","Number","5,217,899",""
"2001","Germany (until 1990 former territory of the FRG)","Total utility vehicles","Per thousand inhabitants",":",""
"2001","Germany (until 1990 former territory of the FRG)","Lorries","Number","2,610,885",""
"2001","Germany (until 1990 former territory of the FRG)","Lorries","Per thousand inhabitants",":",""
"2001","Germany (until 1990 former territory of the FRG)","Road tractors","Number","1,941,783",""
"2001","Germany (until 1990 former territory of the FRG)","Road tractors","Per thousand inhabitants",":",""
"2001","Germany (until 1990 former territory of the FRG)","Trailers and semi-trailers","Number","4,960,189",""
"2001","Germany (until 1990 former territory of the FRG)","Trailers and semi-trailers","Per thousand inhabitants",":",""
"2001","Germany (until 1990 former territory of the FRG)","Motorcycles","Number","3,410,480",""
"2001","Germany (until 1990 former territory of the FRG)","Motorcycles","Per thousand inhabitants",":",""
"2001","Germany (until 1990 former territory of the FRG)","Passenger cars","Number","43,772,260",""
"2001","Germany (until 1990 former territory of the FRG)","Passenger cars","Per thousand inhabitants","531",""
"2001","Germany (until 1990 former territory of the FRG)","Motor coaches, buses and trolley buses","Number","86,656",""
"2001","Germany (until 1990 former territory of the FRG)","Motor coaches, buses and trolley buses","Per thousand inhabitants",":",""
