"TIME","GEO","TRA_INFR","UNIT","Value","Flag and Footnotes"
"2001","Belgium","Motorways","Kilometre","1,727",""
"2001","Belgium","E-roads","Kilometre",":",""
"2001","Bulgaria","Motorways","Kilometre","328",""
"2001","Bulgaria","E-roads","Kilometre",":",""
"2001","Czechia","Motorways","Kilometre","517.6",""
"2001","Czechia","E-roads","Kilometre","2,601.2",""
"2001","Denmark","Motorways","Kilometre","971",""
"2001","Denmark","E-roads","Kilometre","959",""
"2001","Germany (until 1990 former territory of the FRG)","Motorways","Kilometre","11,786",""
"2001","Germany (until 1990 former territory of the FRG)","E-roads","Kilometre",":",""
"2001","Estonia","Motorways","Kilometre","93",""
"2001","Estonia","E-roads","Kilometre","426.6",""
"2001","Ireland","Motorways","Kilometre","125",""
"2001","Ireland","E-roads","Kilometre",":",""
"2001","Greece","Motorways","Kilometre",":",""
"2001","Greece","E-roads","Kilometre",":",""
"2001","Spain","Motorways","Kilometre","9,571","d"
"2001","Spain","E-roads","Kilometre",":",""
"2001","France","Motorways","Kilometre","10,068",""
"2001","France","E-roads","Kilometre",":",""
"2001","Croatia","Motorways","Kilometre","429",""
"2001","Croatia","E-roads","Kilometre","2,268",""
"2001","Italy","Motorways","Kilometre","6,478",""
"2001","Italy","E-roads","Kilometre",":",""
"2001","Cyprus","Motorways","Kilometre","257",""
"2001","Cyprus","E-roads","Kilometre","0",""
"2001","Latvia","Motorways","Kilometre","0",""
"2001","Latvia","E-roads","Kilometre","202",""
"2001","Lithuania","Motorways","Kilometre","417",""
"2001","Lithuania","E-roads","Kilometre","1,490",""
"2001","Luxembourg","Motorways","Kilometre","115",""
"2001","Luxembourg","E-roads","Kilometre",":",""
"2001","Hungary","Motorways","Kilometre","448",""
"2001","Hungary","E-roads","Kilometre","2,054",""
"2001","Malta","Motorways","Kilometre",":",""
"2001","Malta","E-roads","Kilometre","0",""
"2001","Netherlands","Motorways","Kilometre","2,499",""
"2001","Netherlands","E-roads","Kilometre",":",""
"2001","Austria","Motorways","Kilometre","1,645",""
"2001","Austria","E-roads","Kilometre","2,244",""
"2001","Poland","Motorways","Kilometre","398",""
"2001","Poland","E-roads","Kilometre","5,500",""
"2001","Portugal","Motorways","Kilometre","1,659","d"
"2001","Portugal","E-roads","Kilometre","2,280","d"
"2001","Romania","Motorways","Kilometre","113",""
"2001","Romania","E-roads","Kilometre","5,568",""
"2001","Slovenia","Motorways","Kilometre","435",""
